site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
33,3/7/2017,1965,33793,7920,194407.07,123522,1096,4,1282.24,222.02,55.50500107,0.0036,98.9349,5.7753
38,3/19/2017,8,532,9,1627.73,15696,241,4,90.07,740.96,185.2399998,0.0166,203.4662,0.1216
39,3/6/2017,41,1371,134,1375.27,60908,1006,22,105.93,789.62,35.8918185,0.0219,33.5432,0.1342
3,2/24/2017,79,1677,786,5159.10,64244,666,55,106.17,1622.24,29.49527245,0.0826,65.3051,0.0654
33,2/26/2017,1827,39031,7631,178029.15,180801,1597,83,1843.4,4613.47,55.58397617,0.0520,97.4434,0.3996
52,3/4/2017,26,5359,47,12922.68,38873,583,7,308.18,4725.96,675.1371422,0.0120,497.0262,0.0652
4,3/6/2017,1529,242717,9407,112386.00,175620,2494,73,1179.76,3930.24,53.838904,0.0293,73.5029,0.3002
17,3/18/2017,123,13322,427,15829.27,67828,1019,23,182.11,3860.84,167.8626088,0.0226,128.6933,0.0472
31,3/9/2017,104,11745,435,6093.37,42807,801,12,243.54,650.20,54.1833328,0.0150,58.5901,0.3746
36,3/22/2017,56,6271,111,10950.95,4669,48,3,35.85,1130.00,376.6666667,0.0625,195.5527,0.0317
33,2/27/2017,1342,26982,5635,134566.40,128978,1126,58,1272.79,3162.61,54.52775847,0.0515,100.2730,0.4024
51,2/25/2017,86,910,290,9431.22,6415,102,4,206.14,568.92,142.2299981,0.0392,109.6653,0.3623
41,3/5/2017,9,739,34,4890.18,22368,204,4,170.25,3931.00,982.75,0.0196,543.3533,0.0433
41,2/24/2017,18,1186,38,4345.95,20720,252,6,210.79,538.00,89.66666667,0.0238,241.4417,0.3918
26,3/16/2017,83,17243,103,8338.35,28845,322,10,164.89,441.01,44.1010006,0.0311,100.4620,0.3739
13,3/3/2017,71,6748,197,3354.00,9627,129,6,79.8,246.00,40.99999984,0.0465,47.2394,0.3244
54,3/17/2017,4,588,4,409.96,16306,141,1,114.85,89.99,89.98999786,0.0071,102.4900,1.2763
24,2/24/2017,26,1378,74,1396.78,45790,617,13,105.49,507.41,39.03153845,0.0211,53.7223,0.2079
8,3/20/2017,1112,13108,1706,44636.00,99422,2316,81,377.89,5994.65,74.0080259,0.0350,40.1403,0.0630
49,3/3/2017,69,3336,114,4577.90,51076,1453,63,201.99,4101.49,65.10301628,0.0434,66.3464,0.0492
40,2/23/2017,14,543,35,2679.91,287,1,0,0.17,0.00,,0.0000,191.4221,
23,3/7/2017,235,24315,812,61776.64,44698,891,16,216.4,2149.75,134.3593743,0.0180,262.8793,0.1007
4,3/12/2017,1419,239113,10217,126814.31,207567,3081,83,1422.19,4098.81,49.38325322,0.0269,89.3688,0.3470
3,3/6/2017,136,2292,879,5204.17,106824,1226,72,155.73,2262.31,31.42097231,0.0587,38.2660,0.0688
43,2/28/2017,245,14693,840,17186.53,62927,670,22,303.89,868.49,39.4768187,0.0328,70.1491,0.3499
47,3/21/2017,67,19264,102,5280.04,30450,815,22,68.4,1537.05,69.86590897,0.0270,78.8066,0.0445
24,3/4/2017,22,1362,38,885.86,48614,669,8,129.35,285.11,35.63875008,0.0120,40.2664,0.4537
